,model_names,accuracy_scores,precision_scores,recall_scores,f1_scores,specificity_scores,auc_scores
0,LinearDiscriminantAnalysis,0.6973030303030303,0.6973030303030303,0.6973030303030303,0.6973030303030303,0.6973030303030303,0.8384909310914006
1,GaussianNB,0.5996666666666667,0.5996666666666667,0.5996666666666667,0.5996666666666667,0.5996666666666667,0.7629699351581989
2,DecisionTreeClassifier,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.9996511498885138
3,LogisticRegression,0.7018787878787879,0.7018787878787879,0.7018787878787879,0.7018787878787879,0.7018787878787879,0.8465792403874633
4,KNeighborsClassifier,0.7355757575757575,0.7355757575757575,0.7355757575757575,0.7355757575757575,0.7355757575757575,0.8680405885231263
5,MLPClassifier,0.7340909090909091,0.7340909090909091,0.7340909090909091,0.7340909090909091,0.7340909090909091,0.879542639842818
6,RandomForestClassifier,0.998,0.998,0.998,0.998,0.998,0.9999831041543429
7,XGB,1.0,1.0,1.0,1.0,1.0,1.0
8,BaggingClassifier,1.0,1.0,1.0,1.0,1.0,1.0
9,AdaBoostClassifier,0.9997575757575757,0.9997575757575757,0.9997575757575757,0.9997575757575757,0.9997575757575757,0.9997851548052924
